"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Ian Happ","CHC","148","535","25","63","66","9","11.6%","29.2%",".209",".281",".226",".323",".434",".328",".317","105","0.2","3.7","-9.4","1.2","17919"
"Gleyber Torres","NYY","127","516","9","50","51","14","9.7%","20.2%",".107",".314",".259",".331",".366",".307",".331","94","0.2","-3.3","-2.5","1.2","16997"
"Nick Solak","TEX","127","511","11","57","49","7","6.7%","20.9%",".120",".292",".242",".314",".362",".299",".299","88","0.4","-6.9","0.6","1.1","19294"
"Tommy Pham","SDP","155","561","15","74","49","14","13.9%","22.8%",".154",".280",".229",".340",".383",".318",".350","102","1.1","2.4","-10.6","1.1","2967"
"Miguel Sano","MIN","135","532","30","68","75","2","11.1%","34.4%",".243",".291",".223",".312",".466",".332",".322","112","-2.2","5.5","-15.0","0.9","12164"
"David Fletcher","LAA","157","665","2","74","47","15","4.7%","9.0%",".062",".287",".262",".297",".324",".273",".280","69","3.3","-21.8","6.8","0.8","17992"
"Jed Lowrie","OAK","139","512","14","55","69","0","9.6%","21.1%",".153",".289",".245",".318",".398",".311",".343","102","-1.6","-0.5","-9.9","0.7","4418"
"Raimel Tapia","COL","133","533","6","69","50","20","7.5%","13.1%",".099",".306",".273",".327",".372",".305",".273","75","3.7","-13.2","2.2","0.7","14350"
"Trey Mancini","BAL","147","616","21","77","71","0","8.3%","23.2%",".176",".308",".255",".326",".432",".326",".341","105","-5.3","-1.8","-12.8","0.6","15149"
"Ryan Mountcastle","BAL","144","586","33","77","89","4","7.0%","27.5%",".232",".297",".255",".309",".487",".335",".326","111","-1.2","6.6","-20.3","0.6","18373"
"Eric Hosmer","SDP","151","565","12","53","65","5","8.5%","17.5%",".126",".313",".269",".337",".395",".319",".326","103","-5.5","-3.6","-9.5","0.6","3516"
"Charlie Blackmon","COL","150","582","13","76","78","3","9.3%","15.6%",".140",".305",".270",".351",".411",".333",".359","93","1.4","-3.6","-11.9","0.4","7859"
"Pavin Smith","ARI","145","545","11","68","49","1","7.7%","19.4%",".137",".319",".267",".328",".404",".318",".317","96","-2.4","-4.8","-11.4","0.2","19892"
"Randal Grichuk","TOR","149","545","22","59","81","0","5.0%","20.9%",".182",".266",".241",".281",".423",".300",".297","85","-4.9","-14.7","-2.5","0.1","10243"
"Kevin Newman","PIT","148","554","5","50","39","6","4.9%","7.4%",".083",".236",".226",".265",".309",".249",".275","53","5.1","-28.1","8.1","-0.1","17696"
"Eugenio Suarez","CIN","145","574","31","71","79","0","9.8%","29.8%",".230",".224",".198",".286",".428",".306",".326","84","-4.1","-16.1","-4.6","-0.1","12552"
"Jorge Soler","- - -","149","602","27","74","70","0","11.1%","23.6%",".209",".250",".223",".316",".432",".323",".359","100","-6.8","-6.4","-16.7","-0.3","14221"
"Carlos Santana","KCR","158","659","19","66","69","2","13.1%","15.5%",".127",".227",".214",".319",".342",".294",".335","82","-0.8","-15.5","-11.5","-0.5","2396"
"Miguel Cabrera","DET","130","526","15","48","75","0","7.6%","22.4%",".129",".305",".256",".316",".386",".305",".315","94","-6.3","-10.4","-13.4","-0.6","1744"
"Hunter Dozier","KCR","144","543","16","55","54","5","7.9%","28.4%",".179",".276",".216",".285",".394",".293",".299","81","-1.4","-14.0","-14.7","-1.0","15117"
